task,representation,model,seed,AUC,PR_AUC,BalAcc,Accuracy,F1,Precision_0,Recall_0,Precision_1,Recall_1,MacroF1,Precision_2,Recall_2
renewed_4y,HYBRID,XGB,4,0.6224184088711338,0.9173169809948118,0.501982160555005,0.8872686483454851,0.9402390438247012,1.0,0.003964321110009911,0.8872180451127819,1.0,,,
renewed_4y,HYBRID,LR,5,0.5779880894865512,0.9049099743784625,0.510207023707954,0.8834548513740886,0.9379145503435913,0.32558139534883723,0.027750247770069375,0.8888888888888888,0.9926637996458386,,,
renewed_4y,HYBRID,XGB,5,0.6121435038110083,0.9153540849405037,0.501982160555005,0.8872686483454851,0.9402390438247012,1.0,0.003964321110009911,0.8872180451127819,1.0,,,
renewed_4y,HYBRID,LR,6,0.5779880894865512,0.9049099743784625,0.510207023707954,0.8834548513740886,0.9379145503435913,0.32558139534883723,0.027750247770069375,0.8888888888888888,0.9926637996458386,,,
renewed_4y,HYBRID,XGB,6,0.6120450351090125,0.9171501777122736,0.501982160555005,0.8872686483454851,0.9402390438247012,1.0,0.003964321110009911,0.8872180451127819,1.0,,,
renewed_4y,HYBRID,LR,7,0.5779880894865512,0.9049099743784625,0.510207023707954,0.8834548513740886,0.9379145503435913,0.32558139534883723,0.027750247770069375,0.8888888888888888,0.9926637996458386,,,
renewed_4y,HYBRID,XGB,7,0.6238199738904376,0.9179761677563375,0.5019189174485036,0.8871564778463265,0.9401760228353948,0.8,0.003964321110009911,0.8872053872053872,0.9998735137869972,,,
renewed_4y,HYBRID,LR,8,0.5779880894865512,0.9049099743784625,0.510207023707954,0.8834548513740886,0.9379145503435913,0.32558139534883723,0.027750247770069375,0.8888888888888888,0.9926637996458386,,,
renewed_4y,HYBRID,XGB,8,0.6111934155965901,0.9133005371258491,0.501982160555005,0.8872686483454851,0.9402390438247012,1.0,0.003964321110009911,0.8872180451127819,1.0,,,
renewed_4y,HYBRID,LR,9,0.5779880894865512,0.9049099743784625,0.510207023707954,0.8834548513740886,0.9379145503435913,0.32558139534883723,0.027750247770069375,0.8888888888888888,0.9926637996458386,,,
renewed_4y,HYBRID,XGB,9,0.6151910192532325,0.9150542603204177,0.5019189174485036,0.8871564778463265,0.9401760228353948,0.8,0.003964321110009911,0.8872053872053872,0.9998735137869972,,,
renewed_4y,META,LR,0,0.566276331132632,0.9121148216482171,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,META,XGB,0,0.5887218047940406,0.9184708085229896,0.5024672959804963,0.8865956253505328,0.9398464925328732,0.42857142857142855,0.005946481665014866,0.8873160319065273,0.9989881102959778,,,
renewed_4y,META,LR,1,0.566276331132632,0.9121148216482171,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,META,XGB,1,0.5878384070308784,0.9175292797999032,0.5030260792257489,0.8868199663488503,0.9399654905694056,0.5,0.006937561942517344,0.8874283788338388,0.9991145965089805,,,
renewed_4y,META,LR,2,0.566276331132632,0.9121148216482171,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,META,XGB,2,0.5918589511998891,0.9186675948471854,0.5030893223322503,0.886932136848009,0.9400285578296049,0.5384615384615384,0.006937561942517344,0.8874410244888788,0.9992410827219833,,,
renewed_4y,META,LR,3,0.566276331132632,0.9121148216482171,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,META,XGB,3,0.5876842793808418,0.9175734204260059,0.5025305390869976,0.8867077958496915,0.9399095668729177,0.46153846153846156,0.005946481665014866,0.8873286901819816,0.9991145965089805,,,
renewed_4y,META,LR,4,0.566276331132632,0.9121148216482171,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,META,XGB,4,0.5897426575944252,0.9174210662914294,0.5024672959804963,0.8865956253505328,0.9398464925328732,0.42857142857142855,0.005946481665014866,0.8873160319065273,0.9989881102959778,,,
renewed_4y,META,LR,5,0.566276331132632,0.9121148216482171,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,META,XGB,5,0.5906064995109785,0.9185910513007257,0.5035216193645001,0.886932136848009,0.9400214209210996,0.5333333333333333,0.007928642220019821,0.8875280898876404,0.9991145965089805,,,
renewed_4y,META,LR,6,0.566276331132632,0.9121148216482171,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,META,XGB,6,0.590518936954207,0.9180663092164022,0.502593782193499,0.8868199663488503,0.9399726337081326,0.5,0.005946481665014866,0.887341345613838,0.9992410827219833,,,
renewed_4y,META,LR,7,0.566276331132632,0.9121148216482171,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,META,XGB,7,0.5897497403209215,0.9180114165961739,0.5025305390869976,0.8867077958496915,0.9399095668729177,0.46153846153846156,0.005946481665014866,0.8873286901819816,0.9991145965089805,,,
renewed_4y,META,LR,8,0.566276331132632,0.9121148216482171,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,META,XGB,8,0.5916572501922366,0.9187221222155701,0.5024040528739949,0.8864834548513741,0.9397834106866595,0.4,0.005946481665014866,0.8873033707865169,0.998861624082975,,,
renewed_4y,META,LR,9,0.566276331132632,0.9121148216482171,0.5,0.8868199663488503,0.9400154568693895,0.0,0.0,0.8868199663488503,1.0,,,
renewed_4y,META,XGB,9,0.5889667543086168,0.9173394196617257,0.5025305390869976,0.8867077958496915,0.9399095668729177,0.46153846153846156,0.005946481665014866,0.8873286901819816,0.9991145965089805,,,
renewed_4y,KG+META,LR,0,0.6095729128458596,0.9164317910059505,0.5008013509579983,0.8867077958496915,0.9399381541389153,0.4,0.0019821605550049554,0.8869809203142537,0.9996205413609917,,,
renewed_4y,KG+META,XGB,0,0.647113494361523,0.9279681016790698,0.5021614851612493,0.8868199663488503,0.9399797751472251,0.5,0.004955401387512388,0.8872543514879281,0.9993675689349861,,,
renewed_4y,KG+META,LR,1,0.6095729128458596,0.9164317910059505,0.5008013509579983,0.8867077958496915,0.9399381541389153,0.4,0.0019821605550049554,0.8869809203142537,0.9996205413609917,,,
renewed_4y,KG+META,XGB,1,0.6438220949476468,0.926148987165559,0.5038378348970072,0.8874929893438026,0.9403366843138421,0.8,0.007928642220019821,0.8875912408759125,0.9997470275739945,,,
renewed_4y,KG+META,LR,2,0.6095729128458596,0.9164317910059505,0.5008013509579983,0.8867077958496915,0.9399381541389153,0.4,0.0019821605550049554,0.8869809203142537,0.9996205413609917,,,
renewed_4y,KG+META,XGB,2,0.6422393249522323,0.9264434399092288,0.5034055378647573,0.8874929893438026,0.9403437815975733,0.875,0.006937561942517344,0.887504210171775,0.9998735137869972,,,
renewed_4y,KG+META,LR,3,0.6095729128458596,0.9164317910059505,0.5008013509579983,0.8867077958496915,0.9399381541389153,0.4,0.0019821605550049554,0.8869809203142537,0.9996205413609917,,,
renewed_4y,KG+META,XGB,3,0.6490374261296699,0.9293197906111512,0.5023512144807535,0.8871564778463265,0.9401689068633282,0.7142857142857143,0.004955401387512388,0.8872923215087561,0.9997470275739945,,,
renewed_4y,KG+META,LR,4,0.6095729128458596,0.9164317910059505,0.5008013509579983,0.8867077958496915,0.9399381541389153,0.4,0.0019821605550049554,0.8869809203142537,0.9996205413609917,,,
renewed_4y,KG+META,XGB,4,0.6426926194479886,0.9269977540668395,0.5039010780035085,0.8876051598429613,0.9403997144896502,0.8888888888888888,0.007928642220019821,0.8876038625645633,0.9998735137869972,,,
renewed_4y,KG+META,LR,5,0.6095729128458596,0.9164317910059505,0.5008013509579983,0.8867077958496915,0.9399381541389153,0.4,0.0019821605550049554,0.8869809203142537,0.9996205413609917,,,
renewed_4y,KG+META,XGB,5,0.6468970637899181,0.9284161477714274,0.502909997726006,0.8873808188446438,0.9402878553586297,0.8571428571428571,0.005946481665014866,0.8874045801526718,0.9998735137869972,,,
renewed_4y,KG+META,LR,6,0.6095729128458596,0.9164317910059505,0.5008013509579983,0.8867077958496915,0.9399381541389153,0.4,0.0019821605550049554,0.8869809203142537,0.9996205413609917,,,
renewed_4y,KG+META,XGB,6,0.6392813151156415,0.9259672355403052,0.5023512144807535,0.8871564778463265,0.9401689068633282,0.7142857142857143,0.004955401387512388,0.8872923215087561,0.9997470275739945,,,
renewed_4y,KG+META,LR,7,0.6095729128458596,0.9164317910059505,0.5008013509579983,0.8867077958496915,0.9399381541389153,0.4,0.0019821605550049554,0.8869809203142537,0.9996205413609917,,,
